"Gesamttitel","Jahr","Ist","Soll","Soll-Ist","IstDiff1","SollDiff1","IstDiff2","SollDiff2"
"140453401","2014",74.1,136,61.9,0.16,-0.26,0.79,-1.64
"140453402","2014",0,50,50,0,0,0,0.21
"140453501","2014",0.2,35,34.8,-107.5,Inf,Inf,Inf
"140468502","2014",200,372,172,0,-0.05,-0.25,-0.34
"140551101","2014",23.1,12,-11.1,0.18,0,0.47,NA
"140551701","2014",186.2,50,-136.2,3.47,0,3.65,NA
"140552501","2014",35.9,10,-25.9,1.38,-0.5,6.8,NA
"140552701","2014",18,18,0,0.75,0,0.13,NA
"140553301","2014",3767.6,2631,-1136.6,13.45,12.15,26.07,NA
"140553501","2014",0.5,5,4.5,0.25,0,-1,NA
"140581201","2014",317.2,4171.5,3854.3,-10.83,0.71,-5.4,NA
"140211999","2013",46.9,20,-26.9,0.1,Inf,NA,NA
"140212501","2013",542,480,-62,0.15,0.01,NA,NA
"140235902","2013",3259.3,0,-3259.3,-0.53,0,NA,NA
"140238101","2013",0,0,0,0,0,NA,NA
"140242703","2013",0,0,0,0,-Inf,NA,NA
"140251101","2013",1143.6,1500,356.4,-0.23,0.15,NA,NA
"140251102","2013",40.1,55,14.9,-0.28,-0.87,NA,NA
"140251103","2013",0,50,50,-Inf,0,NA,NA
"140251143","2013",1501.1,2003,501.9,-0.1,0.04,NA,NA
"140251144","2013",160.6,79.3,-81.3,1.09,Inf,NA,NA
"140251802","2013",14289.6,13815,-474.6,0.07,0.26,NA,NA
"140252537","2013",934.6,1000,65.4,0.1,-0.6,NA,NA
"140252699","2013",0,0,0,0,0,NA,NA
"140252706","2013",222.2,250,27.8,-0.08,-0.24,NA,NA
"140253302","2013",0,0,0,0,NA,NA,NA
"140253303","2013",7514.8,7300,-214.8,-0.13,-0.16,NA,NA
"140253304","2013",11262.7,11000,-262.700000000001,-0.02,-0.08,NA,NA
"140253356","2013",54097.3,49853,-4244.3,0.01,0.1,NA,NA
"140253413","2013",615.1,504,-111.1,0.19,-0.19,NA,NA
"140253503","2013",9.3,40,30.7,-1.39,-6.21,NA,NA
"140253602","2013",0.5,1,0.5,0,0,NA,NA
"140253703","2013",0,35,35,0,Inf,NA,NA
"140263102","2013",558.5,115,-443.5,1.35,-0.62,NA,NA
"140263206","2013",3063.2,2300,-763.2,0.22,-0.14,NA,NA
"140268504","2013",253.4,350,96.6,-0.01,-0.69,NA,NA
"140271101","2013",0.4,5,4.6,3,-7.8,NA,NA
"140271131","2013",0,0,0,-Inf,-Inf,NA,NA
"140281201","2013",0,0,0,0,NA,NA,NA
"140281202","2013",0,0,0,0,0,NA,NA
"140281246","2013",7302.1,10040,2737.9,-0.01,-0.29,NA,NA
"140291902","2013",0,0,0,-Inf,0,NA,NA
"140335601","2013",813.2,NA,NA,NA,NA,NA,NA
"140335905","2013",0,0,0,-Inf,0,NA,NA
"140353306","2013",NA,NA,NA,NA,NA,NA,NA
"140363313","2013",0,1500,1500,0,-0.33,NA,NA
"140368501","2013",917,0,-917,2.4,0,NA,NA
"140368502","2013",813.2,1000,186.8,Inf,0,NA,NA
"140453401","2013",64,171,107,0.54,-1.1,NA,NA
"140453402","2013",0,50,50,0,0.21,NA,NA
"140453501","2013",21.7,0,-21.7,Inf,0,NA,NA
"140468502","2013",200,391,191,-0.25,-0.28,NA,NA
"140551101","2013",19.6,12,-7.6,0.25,NA,NA,NA
"140551701","2013",41.7,50,8.3,0.04,NA,NA,NA
"140552501","2013",15.1,15,-0.0999999999999996,2.28,NA,NA,NA
"140552701","2013",10.3,18,7.7,-0.54,NA,NA,NA
"140553301","2013",260.8,200,-60.8,0.87,NA,NA,NA
"140553501","2013",0.4,5,4.6,-1.5,NA,NA,NA
"140581201","2013",3752.1,2440,-1312.1,0.85,NA,NA,NA
"140211999","2012",42.8,0,-42.8,NA,NA,NA,NA
"140212501","2012",473,476.3,3.30000000000001,NA,NA,NA,NA
"140235902","2012",5000,0,-5000,NA,NA,NA,NA
"140238101","2012",0,0,0,NA,NA,NA,NA
"140242703","2012",0,35,35,NA,NA,NA,NA
"140251101","2012",1402.2,1300,-102.2,NA,NA,NA,NA
"140251102","2012",51.2,103,51.8,NA,NA,NA,NA
